,n,l,m
1,1,0,0
2,1,0,0
3,2,0,0
4,2,0,0
5,2,1,-1
6,2,1,0
7,2,1,0
8,2,1,-1
9,2,1,0
10,2,1,1
11,3,0,0
12,3,0,0
13,3,1,-1
14,3,1,0
15,3,1,1
16,3,1,-1
17,3,1,0
18,3,1,1
19,4,0,0
20,4,0,0
21,3,2,-2
22,3,2,-1
23,3,2,0
24,3,2,1
25,3,2,2
26,3,2,-2
27,3,2,-1
28,3,2,0
29,3,2,1
30,3,2,2
31,4,1,-1
32,4,1,0
33,4,1,1
34,4,1,-1
35,4,1,0
36,4,1,1
37,5,0,0
38,5,0,0
39,4,2,-2
40,4,2,-1
41,4,2,1
42,4,2,2
43,4,2,2
44,4,2,-1
45,4,2,0
46,4,2,2
47,4,2,2
48,4,2,2
49,5,1,-1
50,5,1,0
51,5,1,1
52,5,1,-1
53,5,1,0
54,5,1,1
55,6,0,0
56,6,0,0
57,5,2,-2
58,5,2,-2
59,4,3,-1
60,4,3,0
61,4,3,1
62,4,3,2
63,4,3,3
64,5,2,-2
65,4,3,-2
66,4,3,-1
67,4,3,0
68,4,3,1
69,4,3,2
70,4,3,3
71,5,2,-2
72,5,2,-1
73,5,2,0
74,5,2,1
75,5,2,2
76,5,2,-2
77,5,2,-1
78,5,2,1
79,5,2,2
80,5,2,2
81,6,1,-1
82,6,1,0
83,6,1,1
84,6,1,-1
85,6,1,0
86,6,1,1
87,7,0,0
88,7,0,0
89,6,2,-2
90,6,2,-1
91,6,2,-2
92,6,2,-2
93,6,2,-2
94,5,3,2
95,5,3,3
96,6,2,-2
97,5,3,-2
98,5,3,-1
99,5,3,0
100,5,3,1
101,5,3,2
102,5,3,3
103,7,1,-1
104,6,2,-1
105,6,2,0
106,6,2,1
107,6,2,2
108,6,2,-2
109,6,2,-1
110,6,2,1
111,6,2,1
112,6,2,2
113,7,1,-1
114,7,1,0
115,7,1,1
116,7,1,-1
117,7,1,0
118,7,1,1
